1933.4550625	1934.2050625	54	BLOUSES
1934.2050625	1944.1903125	99999	sp
1944.1903125	1944.3203125	434	THE
1944.3203125	1944.7003124999999	453	TWO
1944.7003124999999	1945.3503125	33	ARTISTS
1945.3503125	1946.1503125	147	EXCHANGED
1946.1503125	1947.0493125	39	AUTOGRAPHS
1947.0493125	1958.21125	99999	sp
1958.21125	1959.1112500000002	71	BUTTERSCOTCH
1959.1112500000002	1959.6312500000001	169	FUDGE
1959.6312500000001	1959.98125	186	GOES
1959.98125	1960.3712500000001	481	WELL
1960.3712500000001	1960.5312500000002	487	WITH
1960.5312500000002	1960.9912500000003	463	VANILLA
1960.9912500000003	1961.3112500000002	212	ICE
1961.3112500000002	1961.66125	112	CREAM
1961.66125	1972.745375	99999	sp
1972.745375	1973.205375	366	RICH
1973.205375	1973.7353750000002	349	PURCHASED
1973.7353750000002	1974.355375	374	SEVERAL
1974.355375	1974.8053750000001	382	SIGNED
1974.8053750000001	1975.745375	245	LITHOGRAPHS
1975.745375	1986.880625	99999	sp
1986.880625	1987.2396250000002	24	ANY
1987.2396250000002	1988.1806250000002	105	CONTRIBUTIONS
1988.1806250000002	1988.290625	485	WILL
1988.290625	1988.4406250000002	47	BE
